Date,Clicks,Impressions,CTR,Position
2026-01-23,0,22,0%,12.4
2026-01-24,0,34,0%,13.4
2026-01-25,0,27,0%,7.6
2026-01-26,0,14,0%,13.4
2026-01-27,2,25,8%,7.8
2026-01-28,2,26,7.69%,10.5
2026-01-29,1,14,7.14%,5.4
2026-01-30,0,20,0%,13.8
2026-01-31,2,33,6.06%,10.2
2026-02-01,3,54,5.56%,12.8
2026-02-02,3,24,12.5%,8.2
2026-02-03,1,28,3.57%,10.5
2026-02-04,1,40,2.5%,8.3
2026-02-05,3,34,8.82%,10
2026-02-06,1,24,4.17%,7
2026-02-07,1,28,3.57%,8.9
2026-02-08,0,18,0%,5.9
2026-02-09,0,21,0%,9.5
2026-02-10,2,20,10%,7.8
2026-02-11,1,32,3.12%,6.8
2026-02-12,1,20,5%,12.3
2026-02-13,0,20,0%,9
2026-02-14,1,20,5%,8.2
2026-02-15,3,20,15%,7.8
2026-02-16,0,15,0%,8.8
2026-02-17,2,25,8%,6
2026-02-18,4,58,6.9%,8.8
2026-02-19,2,69,2.9%,7.9
2026-02-20,2,31,6.45%,6.5
2026-02-21,1,33,3.03%,6.7
2026-02-22,1,17,5.88%,8.6
2026-02-23,0,14,0%,12.5
2026-02-24,1,22,4.55%,7.5
2026-02-25,2,36,5.56%,5.9
2026-02-26,3,16,18.75%,7.9
2026-02-27,0,17,0%,20.6
2026-02-28,4,36,11.11%,5.6
2026-03-01,5,27,18.52%,5.3
2026-03-02,1,9,11.11%,14.9
2026-03-03,0,33,0%,4.4
2026-03-04,0,16,0%,8.5
2026-03-05,0,19,0%,6.6
2026-03-06,0,22,0%,9.2
2026-03-07,1,27,3.7%,7.2
2026-03-08,2,15,13.33%,10.5
2026-03-09,2,16,12.5%,7.6
2026-03-10,3,25,12%,7
2026-03-11,1,19,5.26%,7.8
2026-03-12,1,21,4.76%,7.8
2026-03-13,3,30,10%,8
2026-03-14,2,21,9.52%,8.8
2026-03-15,0,21,0%,8.4
2026-03-16,0,22,0%,13.8
2026-03-17,2,16,12.5%,6.4
2026-03-18,2,34,5.88%,7.6
2026-03-19,1,34,2.94%,8.2
2026-03-20,0,33,0%,10.2
2026-03-21,0,20,0%,13.7
2026-03-22,3,25,12%,11.9
2026-03-23,1,15,6.67%,4.1
2026-03-24,0,25,0%,6.4
2026-03-25,1,22,4.55%,6.4
2026-03-26,2,24,8.33%,5.8
2026-03-27,0,27,0%,7.5
2026-03-28,2,20,10%,6.1
2026-03-29,2,30,6.67%,6
2026-03-30,3,30,10%,7
2026-03-31,0,33,0%,8
2026-04-01,1,27,3.7%,6.4
2026-04-02,0,19,0%,16.3
2026-04-03,2,47,4.26%,6.6
2026-04-04,1,56,1.79%,6.7
2026-04-05,4,84,4.76%,10.1
2026-04-06,13,122,10.66%,9.3
2026-04-07,6,135,4.44%,7.1
2026-04-08,3,103,2.91%,7.4
2026-04-09,8,114,7.02%,6.1
2026-04-10,8,103,7.77%,7.7
2026-04-11,5,231,2.16%,8.4
2026-04-12,3,214,1.4%,8.3
2026-04-13,8,389,2.06%,7.8
2026-04-14,21,742,2.83%,7.8
2026-04-15,25,717,3.49%,7.6
2026-04-16,25,693,3.61%,8.2
2026-04-17,20,682,2.93%,9.1
2026-04-18,29,1336,2.17%,7.9
2026-04-19,21,812,2.59%,7
2026-04-20,46,904,5.09%,6.8
2026-04-21,48,1021,4.7%,7
2026-04-22,37,1158,3.2%,6.7
