Country,Clicks,Impressions,CTR,Position
India,137,5699,2.4%,7.06
United States,107,2144,4.99%,9.11
United Kingdom,29,420,6.9%,9
Nigeria,26,475,5.47%,6.49
Qatar,20,105,19.05%,5.13
Canada,13,233,5.58%,6.67
Sri Lanka,10,109,9.17%,5.34
Philippines,8,240,3.33%,7.88
Ghana,8,116,6.9%,7.14
Bahrain,6,56,10.71%,5.59
United Arab Emirates,5,102,4.9%,6.82
Malaysia,4,60,6.67%,8.2
Jamaica,4,59,6.78%,5.39
Saudi Arabia,4,50,8%,8.28
South Africa,4,46,8.7%,5.57
Taiwan,4,22,18.18%,5.82
Australia,3,96,3.12%,7.05
Singapore,3,22,13.64%,10.95
Germany,2,50,4%,9.42
Uganda,2,37,5.41%,5.41
Kuwait,2,24,8.33%,6.42
Sweden,2,17,11.76%,9.71
Trinidad & Tobago,2,12,16.67%,7.67
Bahamas,2,5,40%,6.6
Kenya,1,88,1.14%,8.97
New Zealand,1,53,1.89%,6.09
Brazil,1,49,2.04%,6.16
Vietnam,1,45,2.22%,11.76
Indonesia,1,43,2.33%,8.51
Oman,1,41,2.44%,6.66
Zambia,1,25,4%,5.92
South Korea,1,25,4%,11.32
Ethiopia,1,9,11.11%,5.89
Colombia,1,8,12.5%,5.5
Fiji,1,8,12.5%,5.88
Belize,1,4,25%,5
Norway,1,4,25%,6.5
Lebanon,1,4,25%,10.5
Estonia,1,3,33.33%,9.67
Mauritius,1,2,50%,5.5
Palau,1,1,100%,6
Israel,0,61,0%,8.93
Unknown Region,0,53,0%,8.09
Spain,0,38,0%,14.58
Ireland,0,36,0%,7.53
Italy,0,36,0%,15.42
Turkey,0,26,0%,11.81
France,0,26,0%,12.54
Pakistan,0,24,0%,11.38
Cameroon,0,21,0%,7.62
Nepal,0,20,0%,5.25
Japan,0,19,0%,9.11
Zimbabwe,0,18,0%,7.28
Netherlands,0,18,0%,8.72
China,0,18,0%,11.22
Argentina,0,17,0%,9
Thailand,0,16,0%,7.81
Romania,0,15,0%,4.6
Hong Kong,0,14,0%,8.86
Bulgaria,0,13,0%,13.62
Belgium,0,12,0%,14.33
Greece,0,11,0%,12.64
Mexico,0,10,0%,4.4
Algeria,0,10,0%,12.6
St. Lucia,0,9,0%,6
Bangladesh,0,9,0%,6.78
Poland,0,9,0%,10.33
Egypt,0,9,0%,15.67
Myanmar (Burma),0,8,0%,6
Switzerland,0,8,0%,8.75
Lithuania,0,8,0%,17.75
Finland,0,8,0%,22.62
Slovakia,0,7,0%,5.71
Tanzania,0,7,0%,6.71
Austria,0,7,0%,8.29
Russia,0,7,0%,8.29
Benin,0,7,0%,8.57
Ukraine,0,7,0%,12.43
Palestine,0,7,0%,13.14
Ecuador,0,7,0%,16.71
Czechia,0,7,0%,18.86
Papua New Guinea,0,6,0%,8.67
Croatia,0,6,0%,11.17
Moldova,0,5,0%,5.6
Curaçao,0,5,0%,5.8
Chile,0,5,0%,8.6
Peru,0,5,0%,15.2
Serbia,0,5,0%,18.8
Cambodia,0,4,0%,5.75
Côte d’Ivoire,0,4,0%,6.25
Jordan,0,4,0%,7.5
Brunei,0,4,0%,8.25
Botswana,0,4,0%,11
Portugal,0,4,0%,19.5
Venezuela,0,4,0%,29.25
Barbados,0,3,0%,5
Togo,0,3,0%,6.33
Georgia,0,3,0%,7.33
Sierra Leone,0,3,0%,7.33
Malawi,0,3,0%,7.67
Antigua & Barbuda,0,3,0%,8
Macau,0,3,0%,8
Liberia,0,3,0%,8.33
Namibia,0,3,0%,9
Armenia,0,3,0%,11
Azerbaijan,0,3,0%,12
Costa Rica,0,3,0%,12.33
Denmark,0,3,0%,12.33
Dominican Republic,0,3,0%,12.67
Albania,0,3,0%,16.33
Haiti,0,2,0%,4
Vanuatu,0,2,0%,4.5
Guyana,0,2,0%,5
Swaziland,0,2,0%,5
Syria,0,2,0%,5
Iceland,0,2,0%,5.5
Samoa,0,2,0%,5.5
Solomon Islands,0,2,0%,6.5
Congo - Kinshasa,0,2,0%,7
Honduras,0,2,0%,7.5
Iran,0,2,0%,7.5
St. Kitts & Nevis,0,2,0%,7.5
Cayman Islands,0,2,0%,8
Puerto Rico,0,2,0%,8
Guatemala,0,2,0%,9
Morocco,0,2,0%,10
Malta,0,2,0%,10
St. Vincent & Grenadines,0,2,0%,13
Uruguay,0,2,0%,13.5
Slovenia,0,2,0%,17.5
Hungary,0,2,0%,18.5
Burundi,0,1,0%,1
El Salvador,0,1,0%,3
Afghanistan,0,1,0%,4
Sint Maarten,0,1,0%,4
Yemen,0,1,0%,4
Bermuda,0,1,0%,5
Faroe Islands,0,1,0%,5
Gambia,0,1,0%,5
Iraq,0,1,0%,6
Mongolia,0,1,0%,6
Belarus,0,1,0%,7
Grenada,0,1,0%,7
Paraguay,0,1,0%,7
Aruba,0,1,0%,8
Cook Islands,0,1,0%,8
South Sudan,0,1,0%,9
Dominica,0,1,0%,11
Laos,0,1,0%,11
Senegal,0,1,0%,11
Cuba,0,1,0%,12
Angola,0,1,0%,39
